# wl flux eflux
5.848054040258386976e+02 2.399013253342772434e-01 7.565771608789671754e-02
5.848081170754259119e+02 1.743157481831650313e-01 6.102365542964682116e-02
5.848108301250131262e+02 2.892085768296740467e-01 6.539687202650483477e-02
5.848135431746003405e+02 2.322454047144817957e-01 6.107728990385957735e-02
5.848162562241876685e+02 2.845393454211987416e-01 7.747293381586083105e-02
5.848189692737748828e+02 9.848363170328611194e-02 7.047000043580674278e-02
5.848216823233620971e+02 5.473004264184878898e-02 7.147764312579207857e-02
5.848243910589602592e+02 1.981577539465562976e-01 6.082529268604429384e-02
5.848270992093340510e+02 2.804332695955716326e-01 6.332040744768804852e-02
5.848298139022484747e+02 1.809803099024564765e-01 6.263036765424868924e-02
5.848325282724567842e+02 1.364637705824642000e-01 6.205416798340188111e-02
5.848352423199655732e+02 2.242432620312499181e-01 8.897264799044399264e-02
5.848379560447814356e+02 2.379204323648425601e-01 7.401495091626730805e-02
5.848406694469105105e+02 2.159632891022677803e-01 6.192816453878231125e-02
5.848433825263593917e+02 1.287517972275292466e-01 7.290911279325466843e-02
5.848460952831344457e+02 1.840798777467986536e-01 6.215300369361265870e-02
5.848488077172420390e+02 2.892037454463650126e-01 6.195558681690416236e-02
5.848515198286887653e+02 2.494628364295581047e-01 6.308287629028139221e-02
5.848542316174809912e+02 2.362492174406905232e-01 6.212407062618213738e-02
5.848569430836249694e+02 2.986935662347443010e-01 6.288020326576450325e-02
5.848596542271274075e+02 2.269618226312601350e-01 6.068060012581603241e-02
5.848623650479944445e+02 2.322551483726776889e-01 6.252218552208244073e-02
5.848650755462326742e+02 2.852760325617101911e-01 6.423635492753917986e-02
5.848677857218488043e+02 1.208625809411119911e-01 7.620436593184776175e-02
5.848704955748486327e+02 2.623685555137925118e-01 6.239238751365486224e-02
5.848732051052388670e+02 3.093524844698578580e-01 6.265864491068386111e-02
5.848759143130261009e+02 2.435776757805531989e-01 6.176945373415971413e-02
5.848786231982167010e+02 2.786497982284216191e-01 6.321765886998408079e-02
5.848813317608170337e+02 1.739206254242868233e-01 6.022018930569508766e-02
5.848840400008336928e+02 2.203093364885347627e-01 6.107684402307934218e-02
5.848867479182724765e+02 2.347563087987918906e-01 6.052470468171027712e-02
5.848894555131405468e+02 1.987499304351342533e-01 6.222668868348536081e-02
5.848921627854442704e+02 1.408899184375161651e-01 7.245413778773102109e-02
5.848948697351895589e+02 2.364558743423857134e-01 6.100348255408445663e-02
5.848975763623832336e+02 2.322122511431365388e-01 7.107501623921720635e-02
5.849002826670315471e+02 2.548814796140431160e-01 7.357556022744296542e-02
5.849029886491414345e+02 2.211065934835478308e-01 6.272416850567198721e-02
5.849056943087184663e+02 2.939940425401523227e-01 9.793996016143942385e-02
5.849083996457694639e+02 2.345612631859267661e-01 8.002582276705083597e-02
5.849111046603011346e+02 2.334285899571315881e-01 6.158814763677988857e-02
5.849138093523196176e+02 2.853574508095634843e-01 6.423882847277152808e-02
5.849165137218313930e+02 2.134909882145473448e-01 6.359399552673625222e-02
5.849192177688429410e+02 1.285403039518910884e-01 6.434049595268565014e-02
5.849219214933604007e+02 2.828254385668427240e-01 7.260097456766669011e-02
5.849246248953904797e+02 2.637434837549186284e-01 6.268217303109446803e-02
5.849273279749398853e+02 3.173783027281437685e-01 7.641929536171024329e-02
5.849300307320144157e+02 1.886551121478853843e-01 6.395231253756473999e-02
5.849327331666208920e+02 3.205088056328689872e-01 6.323422134724170085e-02
5.849354352787655671e+02 1.395305080579600510e-01 6.238536625215385101e-02
5.849381370684550348e+02 2.342035544966585003e-01 6.157097559853236257e-02
5.849408385356958888e+02 2.633491345926010085e-01 6.942881454918417572e-02
5.849435396804938136e+02 1.826201915462463410e-01 6.311472828576500382e-02
5.849462405028560852e+02 3.043492622449350260e-01 8.136763419964734845e-02
5.849489410027886152e+02 3.496241881065731971e-01 6.388438093659967731e-02
5.849516411802979974e+02 2.250491627476191858e-01 5.996856315692572492e-02
5.849543410353908257e+02 2.392095960719639591e-01 7.228320846472420513e-02
5.849570405680730119e+02 2.045005843201915807e-01 6.305526992069057646e-02
5.849597397783516044e+02 1.662588211217433387e-01 6.388526688778983775e-02
5.849624386662326287e+02 2.633385333375309889e-01 6.325191596900937852e-02
5.849651372317225650e+02 2.482893167532121415e-01 7.487877505684122081e-02
5.849678354748280071e+02 2.082687413924972919e-01 7.538086557798871767e-02
5.849705333955552078e+02 2.365334169246494644e-01 6.233050688139645662e-02
5.849732309939109882e+02 2.031135972241723542e-01 7.119028616034177304e-02
5.849759282699011465e+02 1.911988928998852033e-01 7.969722263247909499e-02
5.849786252235325037e+02 1.923069676217776802e-01 7.466849692786114989e-02
5.849813218548115401e+02 3.103553699855536308e-01 6.159050601242586215e-02
5.849840181637442811e+02 2.060838473392315739e-01 6.495520724462343354e-02
5.849867141503375478e+02 1.345631002802496479e-01 7.273513376761304994e-02
5.849894098145978205e+02 2.621903113044386502e-01 6.361127847866566987e-02
5.849921051565310108e+02 1.663947958189769538e-01 7.303957104988331728e-02
5.849948001761441674e+02 2.365927670644930592e-01 6.300783719635881519e-02
5.849974948734430882e+02 2.270876353032035000e-01 6.301352900001408464e-02
5.850001892484348218e+02 2.823701126951120299e-01 6.443398866812601045e-02
5.850028833011252800e+02 1.761985521213578210e-01 6.363766710131105175e-02
5.850055770315215113e+02 1.166661248487847191e-01 6.209573975315194755e-02
5.850082704396293138e+02 2.435936896462402856e-01 1.098757908859752663e-01
5.850109635254553950e+02 2.517482260708492348e-01 6.256430614846135441e-02
5.850136562890058940e+02 1.744421752276479054e-01 7.784349393078089652e-02
5.850163487302877456e+02 3.159213815555596550e-01 1.096497888719462771e-01
5.850190408493072027e+02 1.800239301901587485e-01 5.999945578996614820e-02
5.850217326460705181e+02 2.061983746055682798e-01 7.475852777670903559e-02
5.850244241205843991e+02 9.564538113971657318e-02 1.069194860570935462e-01
5.850271152728547577e+02 2.128361752767027049e-01 7.348922484510181374e-02
5.850298061028885286e+02 1.631895618987858065e-01 7.249148609862013370e-02
5.850324966106918509e+02 2.406276834425938871e-01 6.564973522567221775e-02
5.850351867962714323e+02 2.611903425843553062e-01 6.309728611100620665e-02
5.850378766596334117e+02 2.874198211047208629e-01 6.225506861534284286e-02
5.850405662007843830e+02 3.102316477313884491e-01 6.588269702667251537e-02
5.850432554197307127e+02 3.841406490011426977e-01 6.509207990852385051e-02
5.850459443164788809e+02 2.509932938382141154e-01 6.591021127848618877e-02
5.850486328910351403e+02 2.370576182445120750e-01 6.445488544626790106e-02
5.850513211434060850e+02 2.610715899409437601e-01 7.699235619706008837e-02
5.850540090735981948e+02 2.579542734000361270e-01 6.422603078786690012e-02
5.850566966816177228e+02 2.383033106659651623e-01 6.395018618318458470e-02
5.850593839674711489e+02 1.955988823017321687e-01 6.193676809282346735e-02
5.850620709311650671e+02 1.561466748918676761e-01 6.433871132690149874e-02
5.850647575727056164e+02 1.984260999334237774e-01 6.123929673432059601e-02
5.850674438920995044e+02 1.725647522792089217e-01 7.886177493308808850e-02
5.850701298893529838e+02 2.133114022459228487e-01 6.197347127175801412e-02
5.850728155644726485e+02 2.956042162215769542e-01 1.099526015206338386e-01
5.850755009174647512e+02 3.355848555083899565e-01 6.456848045808316616e-02
5.850781859483356584e+02 2.710453432733753165e-01 7.304585750461189964e-02
5.850808706570920776e+02 2.053641335685738589e-01 7.461714574836206260e-02
5.850835550437401480e+02 3.106369379094890970e-01 7.242764718795645373e-02
5.850862391082864633e+02 2.349264161596713307e-01 7.366941165492514598e-02
5.850889228507373900e+02 2.346212761909346189e-01 7.779915834306441735e-02
5.850916062710994083e+02 2.687892087442719236e-01 6.577745717624330912e-02
5.850942893693789983e+02 1.948531882929084857e-01 6.031859638084850761e-02
5.850969721455824128e+02 2.327914643799125771e-01 7.513113830616831301e-02
5.850996545997161320e+02 2.567578417022603476e-01 6.663027129975544749e-02
5.851023367317867496e+02 2.876752110540993779e-01 7.602104302438306149e-02
5.851050185418004048e+02 2.528090289705925975e-01 6.321860839574278135e-02
5.851077000297638051e+02 2.636504502742295086e-01 8.026618009435181056e-02
5.851103811956829759e+02 2.511382409063010468e-01 2.148800270230267273e+01
5.851130620395649657e+02 2.386275343907708346e-01 6.482606680611516237e-02
5.851157425614156864e+02 2.671001992499683619e-01 6.349745517502063119e-02
5.851184227612418454e+02 1.754855121937801687e-01 6.349401892818549997e-02
5.851211026390496954e+02 3.329078569738415094e-01 6.229441040600636886e-02
5.851237821948457167e+02 3.167560674143877208e-01 6.500254029810487166e-02
5.851264614286363894e+02 1.698600148092046791e-01 6.233795165793565990e-02
5.851291403404280800e+02 5.559763489422600569e-02 7.445672039023991384e-02
5.851318189302272685e+02 2.974736827076958079e-01 6.304039030272717836e-02
5.851344971980404353e+02 2.797221004236417619e-01 6.149299916813912720e-02
5.851371751438737192e+02 2.638920984865886221e-01 6.196703945698280730e-02
5.851398527677338279e+02 2.711477211618745220e-01 6.399923816287367284e-02
5.851425300696272416e+02 2.344789134353848503e-01 6.045261217707188772e-02
5.851452070495600992e+02 2.803199433909892568e-01 6.412832615834475336e-02
5.851478837075388810e+02 3.226881482212939911e-01 6.575545955135767007e-02
5.851505600435705219e+02 2.041157721194248320e-01 7.380405595484341996e-02
5.851532360576605925e+02 3.398815082874633298e-01 8.401764842240465325e-02
5.851559117498163687e+02 2.709188081600726328e-01 8.117458602287871972e-02
5.851585871200436486e+02 3.405193813007963977e-01 6.488661584948214600e-02
5.851612621683491398e+02 3.472154324211780829e-01 7.607281418073207069e-02
5.851639368947392086e+02 2.718619266949553470e-01 6.276596143660348459e-02
5.851666112992203352e+02 1.880640702677170428e-01 6.369081114521521481e-02
5.851692853817989999e+02 2.622454448209619038e-01 6.525220921604930890e-02
5.851719591424814553e+02 2.524252188442785982e-01 6.404454737258147290e-02
5.851746325812739542e+02 2.016707674723417498e-01 8.122701590201032718e-02
5.851773056981836589e+02 1.745290450106748437e-01 6.149314111905459374e-02
5.851799784932161401e+02 2.045846973265779412e-01 8.112149565755755187e-02
5.851826509663785600e+02 2.711841268012455952e-01 6.510901008806251056e-02
5.851853231176767167e+02 2.360178396625060848e-01 7.363509540837760714e-02
5.851879949471173177e+02 1.932183455137149175e-01 7.542872816307427675e-02
5.851906664547068431e+02 1.859559533713877888e-01 6.342211992169556611e-02
5.851933376404520004e+02 2.932233502739039488e-01 6.325169670642109832e-02
5.851960085043772324e+02 1.796954231689929793e-01 7.660230939600330691e-02
5.851986790465322201e+02 3.747290589987000153e-01 6.466423481650716842e-02
5.852013492669693733e+02 4.099799139137911830e-01 7.858190903914666348e-02
5.852040191657408741e+02 3.317539640152817881e-01 6.405370536281752847e-02
5.852066887428989048e+02 2.976461094409411645e-01 6.519541104029540068e-02
5.852093579984950793e+02 3.122629395775703420e-01 6.465429851559753582e-02
5.852120269325821482e+02 2.944039494026473025e-01 6.630099604803962876e-02
5.852146955452118391e+02 2.534706943375579780e-01 6.436811899097145961e-02
5.852173638364363342e+02 3.191097995991641345e-01 6.416820884618240628e-02
5.852200318063080431e+02 2.987304443054712433e-01 6.360850565087321218e-02
5.852226994548786934e+02 2.567655785280138492e-01 6.394148894079527967e-02
5.852253667822004672e+02 2.396397723388568046e-01 6.296993992798001483e-02
5.852280337883257744e+02 1.774664463848974194e-01 7.680425679325832145e-02
5.852307004733065696e+02 2.329763420376151639e-01 7.651500580740350221e-02
5.852333668371950353e+02 1.369333608078131814e-01 6.302861404617357555e-02
5.852360328800431262e+02 2.549262346453267103e-01 6.552816280193869691e-02
5.852386986019031383e+02 2.620095282287140392e-01 6.129671117946684095e-02
5.852413640028270265e+02 2.750478225453144021e-01 6.221656787055097892e-02
5.852440290828672005e+02 1.389146140185665845e-01 7.460757334966523768e-02
5.852466938420755014e+02 2.313292116085153005e-01 7.630140320476742899e-02
5.852493582805039978e+02 3.554495869487083737e-01 6.362103519040986088e-02
5.852520223982052130e+02 2.101990852219693395e-01 6.212598827548804215e-02
5.852546861952308745e+02 3.067718410538821106e-01 6.468666123788421873e-02
5.852573496716333921e+02 2.856115597815841456e-01 6.533323130244386712e-02
5.852600128274648341e+02 1.835987247249101784e-01 7.527597252001329287e-02
5.852626756627771556e+02 2.527418177816559419e-01 6.244472238574365341e-02
5.852653381776225388e+02 4.063749301412024062e-01 6.640713493756109087e-02
5.852680003720531658e+02 3.763221354900309068e-01 8.645838083062808155e-02
5.852706622461209918e+02 3.417691775906943064e-01 6.697421232122680035e-02
5.852733237998784261e+02 2.965700608952572259e-01 6.378233703596147830e-02
5.852759850333774239e+02 3.318668929083660180e-01 6.450786609974011598e-02
5.852786459466700535e+02 2.928516708765537269e-01 7.518584015593349212e-02
5.852813065398087247e+02 3.913864037140428187e-01 6.550025295211477083e-02
5.852839668128452786e+02 3.135257704601126516e-01 7.575482591059964910e-02
5.852866267658320112e+02 3.922561289472017432e-01 6.528132104206235686e-02
5.852892863988208774e+02 3.682098787820312635e-01 6.172120335553365339e-02
5.852919457118639457e+02 3.523022827617202646e-01 7.951038760389067539e-02
5.852946047050136258e+02 1.829570249477065480e-01 7.660790048949402131e-02
5.852972633783218726e+02 2.531238593781748869e-01 6.567153602669685564e-02
5.852999217318408682e+02 2.516926144968941181e-01 6.505389672101204168e-02
5.853025797656226814e+02 3.188058798438525576e-01 6.518892450986729648e-02
5.853052374797193806e+02 2.317205848471230178e-01 6.329367937959351487e-02
5.853078948741831482e+02 1.880072984382362145e-01 7.503737903109307383e-02
5.853105519490661663e+02 2.078867845978981110e-01 6.274144580105482649e-02
5.853132087044205036e+02 3.062907811334545372e-01 7.586655072946799083e-02
5.853158651402983423e+02 2.753762946102459308e-01 6.216074169863913812e-02
5.853185212567517510e+02 3.593494660704620314e-01 6.688006791835258980e-02
5.853211770538327983e+02 3.529632682863403925e-01 6.659536371616998907e-02
5.853238325315936663e+02 2.513692847303623523e-01 7.638425272266038957e-02
5.853264876900865374e+02 2.597682433043570494e-01 6.280305974605952801e-02
5.853291425293634802e+02 3.357607388816493676e-01 6.555364924007665850e-02
5.853317970494765632e+02 3.615108193933541658e-01 2.148800270230267273e+01
5.853344512504781960e+02 3.872578043754778543e-01 6.828547889629937861e-02
5.853371051324201062e+02 3.209888932700156183e-01 6.593658192885912261e-02
5.853397586953544760e+02 3.172795705016313028e-01 6.340863562381376939e-02
5.853424119393336014e+02 3.362573175210665233e-01 6.697490264113881153e-02
5.853450648644096646e+02 2.297279340282028792e-01 8.371361674506497264e-02
5.853477174706345068e+02 3.174877003326663227e-01 6.778314531954185429e-02
5.853503697580604239e+02 2.183356449389883547e-01 6.410310568442252610e-02
5.853530217267395983e+02 2.382172229557289744e-01 6.279954840151492912e-02
5.853556733767240985e+02 4.635151608099596920e-01 7.947433952493823672e-02
5.853583247080661067e+02 4.764800269445100267e-01 8.530394964201895580e-02
5.853609757208173505e+02 3.218778406530981573e-01 7.272232740660211636e-02
5.853636264150305806e+02 2.639465703945496067e-01 6.420596334443152975e-02
5.853662767907575244e+02 2.884784389885111655e-01 6.424544844745913585e-02
5.853689268480503642e+02 3.092579320670821863e-01 7.786359854173963146e-02
5.853715765869613961e+02 2.858965489433618612e-01 6.255528861356479675e-02
5.853742260075425747e+02 3.370059133171342536e-01 8.005658024229508896e-02
5.853768751098460825e+02 2.304343196863164744e-01 8.445192094301018360e-02
5.853795238939237606e+02 2.962054475223455108e-01 6.397595511991907569e-02
5.853821723598282460e+02 2.764044293344984915e-01 6.361301418983614231e-02
5.853848205076112663e+02 2.681740501499215723e-01 7.012283519291605260e-02
5.853874683373252310e+02 2.915928684170673302e-01 6.715199529540936962e-02
5.853901158490220951e+02 3.344507932008264905e-01 6.503358613182133596e-02
5.853927630427539270e+02 3.648789925814205359e-01 6.569457277866953826e-02
5.853954099185730229e+02 3.025853536162204649e-01 6.527947227519362294e-02
5.853980564765312238e+02 4.293196175515669455e-01 6.937073861776187067e-02
5.854007027166809394e+02 4.735238573001412932e-01 6.882346542248084231e-02
5.854033486390741245e+02 2.855316475211622795e-01 7.751058326271938193e-02
5.854059942437630752e+02 2.500760588745000734e-01 8.324898475402235654e-02
5.854086395307997464e+02 3.304788104418414085e-01 6.790767547725802544e-02
5.854112845002365475e+02 2.454785390472074003e-01 6.473621464047807361e-02
5.854139291521252062e+02 3.877372009304695943e-01 6.731898851619849689e-02
5.854165734865181321e+02 4.445891337274454069e-01 6.613132555223079356e-02
5.854192175034671664e+02 2.488336320375128530e-01 7.669240474373409389e-02
5.854218612030246049e+02 2.606629034508434195e-01 6.462794489062728687e-02
5.854245045852427438e+02 2.069727040196443490e-01 6.432401291091370543e-02
5.854271476501734242e+02 2.726912492474893313e-01 7.392679523818726506e-02
5.854297903978690556e+02 2.573484697538809818e-01 6.435831991069339286e-02
5.854324328283813657e+02 2.196856911534609269e-01 6.741137208881703424e-02
5.854350749417629913e+02 4.035927215470671015e-01 6.739017832970367605e-02
5.854377167380655465e+02 2.856734608762933059e-01 7.882234443533664425e-02
5.854403582173414406e+02 3.543171838918273142e-01 6.432458062473202232e-02
5.854429993796426288e+02 3.585758322547433208e-01 8.008562225009240032e-02
5.854456402250215206e+02 3.257569425126793927e-01 6.757733446642678887e-02
5.854482807535298434e+02 2.542653864453583434e-01 6.257995617194957172e-02
5.854509209652201207e+02 2.111764470047665654e-01 6.465259605782577856e-02
5.854535608601441936e+02 2.607695786955660511e-01 6.626409938983514325e-02
5.854562004383544718e+02 2.434928726874714122e-01 6.483263686728861497e-02
5.854588396999026827e+02 2.497528047689434039e-01 6.267646235311231939e-02
5.854614786448412360e+02 2.533379426990742256e-01 6.489069211425341210e-02
5.854641172732222003e+02 3.508559543650436874e-01 6.506720344242482301e-02
5.854667555850976441e+02 3.207941469071305396e-01 6.725349205356001558e-02
5.854693935805198635e+02 3.421863282890685865e-01 6.574516782326143838e-02
5.854720312595406995e+02 2.982732793439776819e-01 6.687068438461417352e-02
5.854746686222124481e+02 3.101300242006923558e-01 6.359431373347540495e-02
5.854773056685871779e+02 2.729587587484673672e-01 6.406678867917509068e-02
5.854799423987169575e+02 2.956338132858386536e-01 6.409988384310626175e-02
5.854825788126543102e+02 3.067836307809664875e-01 7.692612564369463724e-02
5.854852149104508499e+02 3.219146172019808905e-01 6.485215184352989548e-02
5.854878506921587586e+02 3.166279049297888171e-01 6.392528331322859525e-02
5.854904861578304462e+02 2.241274750470511889e-01 6.546231279571484984e-02
5.854931213075180949e+02 2.238154957041098569e-01 6.574306714494605741e-02
5.854957561412733185e+02 3.949406329071337152e-01 6.772693033244116256e-02
5.854983906591485265e+02 4.354717393107757628e-01 6.993840289663730281e-02
5.855010248611960151e+02 3.423527022149397414e-01 7.687674413622395952e-02
5.855036587474676253e+02 2.282117638122041214e-01 7.969600042508179216e-02
5.855062923180158805e+02 3.220921657777250924e-01 6.435277183877853580e-02
5.855089255728923945e+02 3.589796149872967468e-01 6.583057694412926264e-02
5.855115585121495769e+02 2.729910625550182601e-01 6.207835783241011374e-02
5.855141911358396101e+02 2.740941019866114381e-01 6.396932285504054738e-02
5.855168234440144488e+02 1.564883619425707362e-01 7.550494795423622063e-02
5.855194554367261617e+02 3.004796600007058616e-01 6.689566833101287524e-02
5.855220871140271583e+02 1.451493660889001669e-01 7.578803442245080069e-02
5.855247184759692800e+02 3.324680841759591887e-01 6.307946708659187274e-02
5.855273495226047089e+02 3.691981127192592305e-01 6.590185725445295295e-02
5.855299802539859684e+02 3.692976701439387721e-01 6.489339275598042522e-02
5.855326106701644449e+02 3.981637337074726002e-01 7.816968679274625964e-02
5.855352407711927754e+02 3.283862190832727013e-01 6.775803459205349821e-02
5.855378705571231421e+02 3.783286130888317000e-01 6.908938129284622476e-02
5.855405000280073864e+02 2.920860072810491093e-01 6.797211896118883490e-02
5.855431291838976904e+02 2.815809158108881216e-01 6.563983191719477417e-02
5.855457580248462364e+02 3.076831938169071190e-01 8.017740402206199879e-02
5.855483865509052066e+02 3.437039706531223038e-01 6.941009495720699973e-02
5.855510147621265560e+02 3.702887315776886568e-01 6.403616882688908940e-02
5.855536426585646268e+02 3.096951975723507555e-01 6.463063380403352709e-02
5.855562702403117328e+02 4.421149828806450466e-01 7.915440257086610309e-02
5.855588975074933842e+02 2.881675522182244320e-01 6.551229289693377700e-02
5.855615244602371376e+02 1.662841006226623564e-01 6.189640190742093373e-02
5.855641510986694129e+02 1.466620680279186462e-01 6.051821364557265909e-02
5.855667774229175393e+02 1.820304450734490653e-01 6.720876966832363408e-02
5.855694034331082776e+02 2.018201221615710250e-01 6.055409683106238034e-02
5.855720291293687296e+02 3.230928771923264331e-01 6.500620198281270579e-02
5.855746545118259974e+02 2.707117429169081380e-01 6.893939118539373079e-02
5.855772795806068416e+02 3.573415029405609400e-01 7.945957315742346871e-02
5.855799043358384779e+02 2.551744206629353862e-01 6.392507023488551432e-02
5.855825287776477808e+02 4.220822788878337839e-01 6.536685928933164136e-02
5.855851529061615111e+02 4.391792885228286147e-01 8.562919228297341534e-02
5.855877767215068843e+02 2.435790621739073736e-01 6.661284684104185061e-02
5.855904002238110024e+02 2.231414938715550467e-01 6.366079546203511075e-02
5.855930234132007399e+02 2.567473075288427831e-01 6.567633407336835594e-02
5.855956462898029713e+02 2.342301444982931025e-01 6.633315730246744368e-02
5.855982688537445711e+02 3.800927068074008708e-01 6.658214185005359442e-02
5.856008911051529822e+02 3.786322254335638404e-01 6.665560066975798059e-02
5.856035130441548517e+02 3.374033691998404860e-01 6.664342278264592800e-02
5.856061346708772817e+02 3.143779380533741619e-01 6.796779295948278399e-02
5.856087559854470328e+02 2.929479386888859671e-01 6.390376994125236687e-02
5.856113769879913207e+02 4.175204153145824493e-01 6.459479860638767112e-02
5.856139976786371335e+02 2.855559753928669786e-01 6.461867073321513055e-02
5.856166180575114595e+02 4.046939855215992976e-01 6.633078885627835541e-02
5.856192381247409458e+02 3.763318593034826187e-01 6.653243162587386961e-02
5.856218578804531489e+02 3.208223920928460760e-01 6.474665273666219134e-02
5.856244773247748299e+02 3.719655823381369797e-01 6.787201135351333958e-02
5.856270964578326357e+02 4.238970787285230024e-01 6.992385402402595540e-02
5.856297152797541230e+02 4.008850178572000988e-01 7.043510395010765812e-02
5.856323337906655979e+02 2.863116965204317577e-01 6.796407476693019922e-02
5.856349519906947307e+02 3.275110308321029784e-01 6.853632066255732624e-02
5.856375698799681686e+02 3.484062684207729910e-01 6.912305317830276519e-02
5.856401874586126723e+02 3.201859802352179929e-01 6.624705244132156334e-02
5.856428047267556849e+02 3.028006508716062362e-01 6.519290198773955436e-02
5.856454216845238534e+02 2.681654619981059251e-01 6.556208434298634036e-02
5.856480383320445071e+02 3.338741495865829578e-01 6.656931383564929083e-02
5.856506546694440658e+02 3.970738748208212932e-01 6.863497307006129200e-02
5.856532706968501998e+02 3.765307614969440331e-01 6.542190939855391241e-02
5.856558864143894425e+02 4.168307660432791772e-01 7.014966114017598398e-02
5.856585018221888959e+02 3.007335761228915327e-01 6.395556935081066208e-02
5.856611169203756617e+02 2.745110110130494774e-01 6.339763040323348475e-02
5.856637317090763872e+02 3.297999229785946174e-01 6.459557057539526415e-02
5.856663461884184017e+02 3.661047064824999309e-01 6.680054446968784754e-02
5.856689603585284658e+02 3.624148949554716337e-01 8.371120758694697295e-02
5.856715742195336816e+02 5.568357465905485748e-01 8.160727515298182855e-02
5.856741877715612645e+02 4.123593829288119683e-01 6.759410066541875206e-02
5.856768010147377481e+02 4.468805304352948538e-01 7.041648456260121702e-02
5.856794139491902342e+02 3.881422880053230218e-01 6.912221559191891740e-02
5.856820265750459384e+02 4.884430814483876060e-01 6.602302794765688154e-02
5.856846388924316216e+02 4.116891699806482507e-01 6.926006832129345814e-02
5.856872509014744992e+02 2.578788857768918308e-01 6.554466472360176432e-02
5.856898626023013321e+02 3.687816068835731431e-01 8.075170912802595580e-02
5.856924739950392222e+02 2.092440913171668970e-01 6.425577327699014130e-02
5.856950850798149304e+02 3.258836292499798226e-01 6.716122809835169127e-02
5.856976958567558995e+02 3.197015090583568697e-01 8.543852283951076931e-02
5.857003063259884357e+02 2.495941991259108816e-01 6.310355995206788637e-02
5.857029164876402092e+02 3.430850189653240068e-01 6.683342525963273384e-02
5.857055263418379809e+02 2.907999362458317250e-01 7.888317708463263300e-02
5.857081358887085116e+02 2.709685538132468041e-01 6.689169839367660464e-02
